breadcrumb_category,category,product_name,pricing,image_urls,descriptions_title,descriptions,description_itemized,sizes,tags
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,ADI2000,adidas Originals × Hello Kitty and Friends ADI2000",None オリジナルス,adidas Originals × Hello Kitty and Friends ADI2000,"14,300","https://shop.adidas.jp/photo/HQ/HQ4507/s-HQ4507-standard-side_lateral_center_view-oN4i3oW9XD.jpg, https://shop.adidas.jp/photo/HQ/HQ4507/s-HQ4507-standard-top_portrait_view-qUkT8ilpVm.jpg, https://shop.adidas.jp/photo/HQ/HQ4507/s-HQ4507-standard-bottom_view-KsXV735aCM.jpg, https://shop.adidas.jp/photo/HQ/HQ4507/s-HQ4507-standard-front_lateral_top_view-I6BNa3R5Ws.jpg, https://shop.adidas.jp/photo/HQ/HQ4507/s-HQ4507-standard-back_lateral_top_view-LXJVzdI8Re.jpg, https://shop.adidas.jp/photo/HQ/HQ4507/s-HQ4507-standard-side_medial_center_view-b3bRC5ZPtH.jpg, https://shop.adidas.jp/photo/HQ/HQ4507/s-HQ4507-standard-mirrored_pair_view-9bUXQgCj1E.jpg, https://shop.adidas.jp/photo/HQ/HQ4507/s-HQ4507-standard-detail_view_1-AKpGtFJz86.jpg",リサイクル素材を一部用いた、人気のハローキティデザイン。,ちょっとエッジーで、とってもレトロ。大胆でモダンな、唯一無二のハローキティデザインを纏ったADI2000スニーカー。艶やかでクリーンなコーティングレザーアッパーに、色鮮やかなキャラクターたちのコラージュパッチがアクセントになっている。適度なフィット感をもたらす太めのシューレースが、コントラストが効いたエネルギッシュなヒールデザインとマッチ。※靴ひもについているハローキティは取り外し可能です。,"シューレースクロージャー,コーティングを施したレザーアッパー,テキスタイルライニング,ラバーアウトソール,©2022 SANRIO CO., LTD.,アッパーには、リサイクル素材を50％以上使用,アッパーには、リサイクル素材を50％以上使用","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm","シューズ・靴,スニーカー,オリジナルス,ADI2000,HELLO KITTY COLLECTION,ローカット,MBX63"
"戻る,メンズ,ウェア・服,ボトムス,ジャージ,オリジナルス,ベッケンバウアー,アディカラー クラシック,アディカラー クラシックス ベッケンバウアー トラックパンツ",メンズ オリジナルス,アディカラー クラシックス ベッケンバウアー トラックパンツ,"9,900","https://shop.adidas.jp/photo/IA/IA4786/s-IA4786-on_model-standard_view-TzVX3vs8EP.jpg, https://shop.adidas.jp/photo/IA/IA4786/s-IA4786-on_model-back_view-ZHqt32Wixh.jpg, https://shop.adidas.jp/photo/IA/IA4786/s-IA4786-on_model-walking_view-8ZxGCHAEVU.jpg, https://shop.adidas.jp/photo/IA/IA4786/s-IA4786-3d_torso-front_center_view-EYAehhbTIw.jpg, https://shop.adidas.jp/photo/IA/IA4786/s-IA4786-on_model-detail_view_1-AtijezJZKD.jpg, https://shop.adidas.jp/photo/IA/IA4786/s-IA4786-on_model-detail_view_2-9HpeZ8kug7.jpg",リサイクル&再生可能素材をブレンドした、クラシックなトラックパンツ。,寒い日もOGスタイルで行こう。このアディダス トラックパンツは、家でくつろいだり、ちょっとした外出にもぴったりなクラシックなデザイン。アイコニックなスリーストライプスをサイドに配し、スポーツスタイルにレトロな雰囲気を添えたアイテム。Tシャツやパーカーと合わせればすぐにコーディネートが完成。ソフトなコットン混紡素材が一日中快適なはき心地をもたらす。,"スリムフィット,ドローコード付きの伸縮性ウエスト,綿52% / リサイクルポリエステル48%（ダブルニット）,両サイドにジップポケット","XS,S,M,L,XL,2XL,3XL","ウェア・服,ボトムス,ジャージ,パンツ,オリジナルス,ベッケンバウアー,クラシックス,アディカラー,アディカラー クラシック,プライムブルー,プライムグリーン,リサイクル素材,ベターコットン,BVB16"
"戻る,メンズ,アウトドア,ウェア・服,トップス,フリース,アディダス テレックス,ANDWANDER,アディダス テレックス  and wander フリースジャケット",メンズ アディダス テレックス,アディダス テレックス  and wander フリースジャケット,"18,700","https://shop.adidas.jp/photo/HR/HR7140/s-HR7140-01-xwepHNTRi4.jpg, https://shop.adidas.jp/photo/HR/HR7140/s-HR7140-02-nTju6tp6V7.jpg, https://shop.adidas.jp/photo/HR/HR7140/s-HR7140-03-2ZnEJUhsAU.jpg, https://shop.adidas.jp/photo/HR/HR7140/s-HR7140-04-CHb9MgO2MH.jpg, https://shop.adidas.jp/photo/HR/HR7140/s-HR7140-05-HlnshR5150.jpg, https://shop.adidas.jp/photo/HR/HR7140/s-HR7140-06-GIGpoPxrDj.jpg, https://shop.adidas.jp/photo/HR/HR7140/s-HR7140-07-2BqcYhd5Yd.jpg",リサイクル素材を一部使用した、保温性の高いフリースジャケット。,日本のアウトドアブランド、and wanderとのコラボレーションから誕生したこのアディダス フリースジャケットは、山で保温性を発揮する機能性とスタイルを両立したアイテム。地球をモチーフにした総柄プリントは、日常から離れて、宇宙から見た地球と自然を表現するような大局的な視点にフォーカスし、人間と地球のつながりを強調している。襟元、肘、ポケットのオーバーレイが、レトロな雰囲気を演出。また、ソフトなポーラーフリース素材が、暖かく快適な着心地をキープ。さらに、薄暗い場所でも視認性を発揮するリフレクターを備えている。街歩きから山歩きまで、柔軟に対応するジャケット。,"ルーズフィット,フルジップ仕様 / フード付き,リサイクルポリエステル92% / ポリウレタン8%（フリース［裏起毛］）,サイドポケットと圧着加工の胸ポケット,ドローコードで調節可能な裾,地球から着想を得たセラミックプリントのグラフィック,and wander x Terrexのリフレクタープリント,伸縮性の袖 / バインディングを施した裾","XS,M,XL,2XL","ウェア・服,トップス,フリース,アディダス テレックス,アウトドア,ANDWANDER,プライムブルー,プライムグリーン,リサイクル素材,アウトドアウェア・服,EVF44"
"戻る,レディース,ウェア・服,トップス,スウェット（トレーナー）,スポーツウェア,Marimekko/マリメッコ,マリメッコ フューチャーアイコン スリーストライプス スウェット",レディース スポーツウェア,マリメッコ フューチャーアイコン スリーストライプス スウェット,"8,250","https://shop.adidas.jp/photo/IC/IC6350/s-IC6350-on_model-standard_view-R1qB1F0PS8.jpg, https://shop.adidas.jp/photo/IC/IC6350/s-IC6350-on_model-side_view-RgHVNTEJGB.jpg, https://shop.adidas.jp/photo/IC/IC6350/s-IC6350-on_model-back_view-Gi3ijxXhed.jpg, https://shop.adidas.jp/photo/IC/IC6350/s-IC6350-on_model-walking_view-FoOYycLvni.jpg, https://shop.adidas.jp/photo/IC/IC6350/s-IC6350-3d_torso-front_center_view-LXAYqfiTHl.jpg, https://shop.adidas.jp/photo/IC/IC6350/s-IC6350-on_model-detail_view_1-hdyObdjYDQ.jpg, https://shop.adidas.jp/photo/IC/IC6350/s-IC6350-on_model-detail_view_2-m7CLRDkOt0.jpg, https://shop.adidas.jp/photo/IC/IC6350/s-IC6350-on_model-detail_view_3-qptXF7gXDd.jpg",リサイクル&再生可能素材を一部使用した、大胆なデザインのスウェット。,マリメッコのアーカイブパターンにインスピレーションを得たこのスウェットは、レトロとモダンの美しいバランスが魅力。背中からボリュームのある袖にかけて、波型のプリントの上を這うようにスリーストライプスをあしらっている。コットン混紡のゆったりとした作りの、ソフトで汎用性に優れた一着。ヨガクラスからカクテルアワーまで、ずっと着ていられる。,"ルーズフィット,リブ仕上げのクルーネック,綿67% / リサイクルポリエステル33%（ダブルニット）,リブ仕上げの袖口と裾","S,M,L,XL,2XL,3XL","ウェア・服,トップス,スウェット（トレーナー）,スポーツウェア,Marimekko/マリメッコ,アイコン,スリー ストライプス,長袖,プライムブルー,リサイクル素材,ベターコットン,BVX12"
"戻る,ユニセックス,ウェア・服,ボトムス,ジャージ,オリジナルス,ベッケンバウアー,トラックパンツ（ジェンダーニュートラル）",None オリジナルス,トラックパンツ（ジェンダーニュートラル）,"11,000","https://shop.adidas.jp/photo/IK/IK9152/s-IK9152-on_model-standard_unisex_pair_shot-PkY5elkzvW.jpg, https://shop.adidas.jp/photo/IK/IK9152/s-IK9152-31-NGYb5X2hkn.jpg, https://shop.adidas.jp/photo/IK/IK9152/s-IK9152-32-Okn1Y7MTWw.jpg, https://shop.adidas.jp/photo/IK/IK9152/s-IK9152-33-New6EEtLnu.jpg, https://shop.adidas.jp/photo/IK/IK9152/s-IK9152-on_model-standard_unisex_back_view-KIIpoO31HO.jpg, https://shop.adidas.jp/photo/IK/IK9152/s-IK9152-on_model-standard_view-ikyMZdxwQp.jpg, https://shop.adidas.jp/photo/IK/IK9152/s-IK9152-on_model-back_view-NdPBWuXyn4.jpg, https://shop.adidas.jp/photo/IK/IK9152/s-IK9152-on_model-walking_view-lynlsdD5N8.jpg",リサイクル素材を一部使用した、快適なトラックパンツ。,60年代に登場したベッケンバウアートラックスーツは長年にわたり愛され続け、そのタイムレスなルックスは今もなお進化を続ける。本モデルは70年代のアーカイブモデルをデザインソースに、日本で開発されたエクスクルーシブ モデル。,"オーバーサイズ,ドローコードが付いた伸縮性のウエスト,ポリエステル100％（トリコット）,両サイドにジップポケット,背面にポケット",,"ウェア・服,ボトムス,ジャージ,パンツ,オリジナルス,ベッケンバウアー,プライムブルー,プライムグリーン,リサイクル素材,HBO00"
"戻る,ユニセックス,シューズ・靴,サンダル,クロッグ,オリジナルス,SST,Adifom SST",None オリジナルス,Adifom SST,"9,900","https://shop.adidas.jp/photo/HQ/HQ4654/s-HQ4654-standard-side_lateral_center_view-qv0N7FCLRF.jpg, https://shop.adidas.jp/photo/HQ/HQ4654/s-HQ4654-standard-top_portrait_view-MS9JOwknEo.jpg, https://shop.adidas.jp/photo/HQ/HQ4654/s-HQ4654-standard-bottom_view-UgLHoBQ9XD.jpg, https://shop.adidas.jp/photo/HQ/HQ4654/s-HQ4654-standard-front_lateral_top_view-PcVY1Hudl3.jpg, https://shop.adidas.jp/photo/HQ/HQ4654/s-HQ4654-standard-back_lateral_top_view-e9noBaqKOn.jpg, https://shop.adidas.jp/photo/HQ/HQ4654/s-HQ4654-standard-side_medial_center_view-LchrU96hVi.jpg, https://shop.adidas.jp/photo/HQ/HQ4654/s-HQ4654-standard-detail_view_1-AOLEHlTsvu.jpg, https://shop.adidas.jp/photo/HQ/HQ4654/s-HQ4654-standard-detail_view_2-lz3epPyLp1.jpg",自然に優しい素材を使用した、未来的シェルトゥシューズ。,シェルトゥシルエットをユニークに解釈したアディダス SSTがメタバースの世界へ参入。一部サトウキビを原料にしたフォーム素材で作られた、個性的なデザインのチャンキーなスリッポンバージョン。サステナビリティとファッションの未来の最前線へ一歩踏み出そう。,"レギュラーフィット,スリッポン,サトウキビ由来のフォーム素材を使用したワンピース構造,天然素材および再生可能素材を50%以上使用","22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm","シューズ・靴,サンダル,クロッグ,オリジナルス,SST,ADIFOM,MBV36"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,ADIFOM,アディフォーム SLTN / Adifom SLTN",None オリジナルス,アディフォーム SLTN / Adifom SLTN,"8,470","https://shop.adidas.jp/photo/HP/HP6484/s-HP6484-standard-side_lateral_center_view-ReqnS0Bjmr.jpg, https://shop.adidas.jp/photo/HP/HP6484/s-HP6484-standard-top_portrait_view-JHEnpoWgES.jpg, https://shop.adidas.jp/photo/HP/HP6484/s-HP6484-standard-bottom_view-hTNVCvnx21.jpg, https://shop.adidas.jp/photo/HP/HP6484/s-HP6484-standard-front_lateral_top_view-IgqO2h3bhl.jpg, https://shop.adidas.jp/photo/HP/HP6484/s-HP6484-standard-back_lateral_top_view-8Zb6X5mZrw.jpg, https://shop.adidas.jp/photo/HP/HP6484/s-HP6484-standard-side_medial_center_view-T5QtcxIcQY.jpg, https://shop.adidas.jp/photo/HP/HP6484/s-HP6484-standard-detail_view_1-Ci5VIEhznR.jpg, https://shop.adidas.jp/photo/HP/HP6484/s-HP6484-standard-detail_view_2-hTPntdkaVT.jpg",リサイクル素材を一部使用した、フォーム使いの快適なシューズ。,履き心地の良さを最優先するなら、このアディダスシューズがおすすめ。ライニングに施したフォームポケットとフォームアッパーが、優しく足を包み込む。それに見た目だってスタイリッシュ。アーカイブのデザインにモダンな雰囲気を加え、シンプルで洗練された、汎用性の高い一足に仕上げている。 ,"レギュラーフィット,シューレースクロージャー,フォームアッパー,ライニングにフォームポケット,テキスタイルライニング,ラバーアウトソール,アッパーのリサイクル素材含有率は50%以上","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm","シューズ・靴,スニーカー,オリジナルス,ADIFOM,ローカット,MDD14"
"戻る,ユニセックス,シューズ・靴,サンダル,ミュール,オリジナルス,ADIFOM,Adifom アディレッタ サンダル / Adifom Adilette Slides",None オリジナルス,Adifom アディレッタ サンダル / Adifom Adilette Slides,"6,600","https://shop.adidas.jp/photo/HQ/HQ7219/s-HQ7219-standard-side_lateral_center_view-5hsAsJbBVV.jpg, https://shop.adidas.jp/photo/HQ/HQ7219/s-HQ7219-standard-top_portrait_view-BR7seohVuV.jpg, https://shop.adidas.jp/photo/HQ/HQ7219/s-HQ7219-standard-bottom_view-AcmvdSlcT7.jpg, https://shop.adidas.jp/photo/HQ/HQ7219/s-HQ7219-standard-front_lateral_top_view-0Ro9yppQbK.jpg, https://shop.adidas.jp/photo/HQ/HQ7219/s-HQ7219-standard-back_lateral_top_view-1RQz83uVxS.jpg, https://shop.adidas.jp/photo/HQ/HQ7219/s-HQ7219-standard-side_medial_center_view-CpBviJBqN1.jpg, https://shop.adidas.jp/photo/HQ/HQ7219/s-HQ7219-standard-mirrored_pair_view-TyzFi4yNwe.jpg, https://shop.adidas.jp/photo/HQ/HQ7219/s-HQ7219-standard-detail_view_1-FF1lHJdag0.jpg",自然を大切にする思いから生まれた、メタバースを意識したサンダル。,メタバースの世界へ誘うアディダス サンダル。サトウキビを原料としたフォームを使用したユニークな一体構造デザイン。アイコニックなアディレッタのシルエットが快適な履き心地をもたらし、バーチャル世界を探索するときも、プールサイドでリラックスするときも快適。従来のやり方を壊して、ファッションを世界の利益のために使用するというコンセプトで再定義。限りある資源を守り、プラスチック廃棄物を削減するというアディダスの取り組みの一環として、天然素材と再生可能素材で作られている。,"レギュラーフィット,スリッポン,サトウキビから作られるフォームによるワンピース構造,天然素材および再生可能素材を50%以上使用","22.5cm,23.5cm,24.5cm,25.5cm,26.5cm,27.5cm,28.5cm,29.5cm,30.5cm","シューズ・靴,サンダル,ミュール,オリジナルス,ADIFOM,アディレッタ,MBV38"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,ADIFOM,アディフォーム SLTN / Adifom SLTN",None オリジナルス,アディフォーム SLTN / Adifom SLTN,"12,100","https://shop.adidas.jp/photo/HP/HP6481/s-HP6481-standard-side_lateral_center_view-TfF6S4r0bk.jpg, https://shop.adidas.jp/photo/HP/HP6481/s-HP6481-standard-top_portrait_view-iWwJDKj5BH.jpg, https://shop.adidas.jp/photo/HP/HP6481/s-HP6481-standard-bottom_view-Db40suPsxl.jpg, https://shop.adidas.jp/photo/HP/HP6481/s-HP6481-standard-front_lateral_top_view-aB1EyHkjJv.jpg, https://shop.adidas.jp/photo/HP/HP6481/s-HP6481-standard-back_lateral_top_view-5NjC9xUjDO.jpg, https://shop.adidas.jp/photo/HP/HP6481/s-HP6481-standard-side_medial_center_view-6ed0z01YoJ.jpg, https://shop.adidas.jp/photo/HP/HP6481/s-HP6481-standard-mirrored_pair_view-7MKgSrzrOR.jpg, https://shop.adidas.jp/photo/HP/HP6481/s-HP6481-standard-detail_view_1-O27SUpx35u.jpg",リサイクル素材を一部使用した、フォーム使いの快適なシューズ。,履き心地の良さを最優先するなら、このアディダスシューズがおすすめ。ライニングに施したフォームポケットとフォームアッパーが、優しく足を包み込む。それに見た目だってスタイリッシュ。アーカイブのデザインにモダンな雰囲気を加え、シンプルで洗練された、汎用性の高い一足に仕上げている。 ,"レギュラーフィット,シューレースクロージャー,フォームアッパー,ライニングにフォームポケット,テキスタイルライニング,ラバーアウトソール,アッパーのリサイクル素材含有率は50%以上","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm","シューズ・靴,スニーカー,オリジナルス,ADIFOM,ローカット,MDD14"
"戻る,ユニセックス,シューズ・靴,スニーカー,オリジナルス,テラス,アディダス TRX ビンテージ / adidas TRX Vintage",None オリジナルス,アディダス TRX ビンテージ / adidas TRX Vintage,"10,989","https://shop.adidas.jp/photo/FY/FY3651/s-FY3651-standard-side_lateral_center_view.jpg, https://shop.adidas.jp/photo/FY/FY3651/s-FY3651-standard-top_portrait_view.jpg, https://shop.adidas.jp/photo/FY/FY3651/s-FY3651-standard-bottom_view.jpg, https://shop.adidas.jp/photo/FY/FY3651/s-FY3651-standard-front_lateral_top_view.jpg, https://shop.adidas.jp/photo/FY/FY3651/s-FY3651-standard-back_lateral_top_view.jpg, https://shop.adidas.jp/photo/FY/FY3651/s-FY3651-standard-side_medial_center_view.jpg, https://shop.adidas.jp/photo/FY/FY3651/s-FY3651-standard-mirrored_pair_view.jpg, https://shop.adidas.jp/photo/FY/FY3651/s-FY3651-standard-detail_view_1.jpg",デイリーに活躍するランニングスタイルシューズ。,人生は短距離じゃなく、マラソン。このTRX ビンテージシューズは、元々70年代にマラソンランナーのために作られたもの。そして今、やっと限界を押し上げ、すべきことをする時間ができたキミのような人を後押しする役割を得た。現代のクッション性がそれをサポートしてくれる。,"シューレースクロージャー,ナイロンとスエードのアッパー,テキスタイルライニング,EVAミッドソール,ラバーアウトソール","22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm","シューズ・靴,スニーカー,オリジナルス,テラス,ローカット,WF031"
